schema_version,row_boundary,candidate_id,candidate_version,hypothesis_id,evidence_card_id,selector_input_ref,registry_ref,evaluation_evidence_ref,row_generated_at,candidate_status,strategy_type,candidate_next_action,candidate_ready_for_evaluation,candidate_blocker_count,candidate_data_requirement_count,candidate_feature_requirement_count,candidate_required_evidence_count,ml_use_status,importance_score,importance_bucket,research_branch,downstream_route,signal_family_candidate,formula_clarity,implementation_readiness,classification_confidence,selector_evidence_status,reproducibility_level,transaction_costs_discussed,lookahead_bias_discussed,survivorship_bias_discussed,risk_flag_count,blocked_reason_count,publication_date,publication_year,created_at,candidate_created_at,evaluation_id,evaluation_status,evaluation_created_at,evaluation_updated_at,evaluation_window_start,evaluation_window_end,evaluation_failure_flags,required_evaluation_check_ids,required_evaluation_check_count,adoption_required_checks_ready,actual_metric_summary_available,metric_source,metric_role,metric_use_status,metric_subject_type,metric_subject_id,candidate_metric_match,candidate_metric_match_reason,reference_feature_candidate,excluded_untradable,excluded_failure,actual_total_return,actual_benchmark_return,actual_proxy_return,actual_excess_return_vs_proxy,actual_max_drawdown,actual_volatility,actual_turnover,actual_sharpe,actual_oos_stability,label_pass_minimum_gate,label_review_preferred,label_source,label_null_reason,label_decision,label_rule_config_ref,actual_label_source,actual_label_role,actual_label_use_status,actual_label_evidence_id,actual_label_generated_at,actual_label_blocked_reason,pred_total_return,pred_max_drawdown,pred_volatility,pred_turnover,pred_sharpe,pred_oos_stability,prediction_uncertainty,prediction_model_version,prediction_generated_at,prediction_allowed_uses,split_policy,split_name,time_aware_split_ready,random_split_allowed,candidate_research_group_id,duplication_group_id,supervised_label_eligible,adoption_review_eligible,ml_training_status,no_feedback_check,activation_boundary
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:005671bfc6a849f84383,v0.3.0,sh:ecard:005671bfc6a849f84383,ecard:005671bfc6a849f84383,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,value,refine_strategy_hypothesis,false,4,2,6,8,needs_hybrid_split,3,low,hybrid,hybrid_split_required,volatility_liquidity,partial,0,low,abstract_supported,not_reported,false,false,false,8,4,2025-07-27,2025,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.47709/governors.v4i1.6568,doi:10.47709/governors.v4i1.6568,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:010d0f9aa476fb1a2238,v0.3.0,sh:ecard:010d0f9aa476fb1a2238,ecard:010d0f9aa476fb1a2238,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,other,refine_strategy_hypothesis,false,1,1,6,8,needs_manual_or_data_review,20,low,technical,technical_score_architect,,not_specified,0,low,metadata_only,,false,false,false,6,1,2023-12-10,2023,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.17492/jpi.mudra.v10i2.1022302,doi:10.17492/jpi.mudra.v10i2.1022302,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:019cdc60b9b8838f7b3f,v0.3.0,sh:ecard:019cdc60b9b8838f7b3f,ecard:019cdc60b9b8838f7b3f,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,volatility,refine_strategy_hypothesis,false,2,3,7,8,diagnostic_context_only,0,not_collectable,diagnostic,diagnostic_backlog,volatility_liquidity,not_specified,0,low,metadata_only,not_reported,false,false,false,6,2,2011-12-28,2011,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.2139/ssrn.1364834,doi:10.2139/ssrn.1364834,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:01b8633516b0e8097b3f,v0.3.0,sh:ecard:01b8633516b0e8097b3f,ecard:01b8633516b0e8097b3f,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,blocked,other,resolve_blocker,false,2,1,6,8,excluded_rejected_or_out_of_scope,0,not_collectable,out_of_scope,reject_log,,not_specified,0,low,metadata_only,not_reported,false,false,false,6,2,2012-01-05,2012,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.2139/ssrn.1916324,doi:10.2139/ssrn.1916324,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:01ffd68984a19612060f,v0.3.0,sh:ecard:01ffd68984a19612060f,ecard:01ffd68984a19612060f,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,other,refine_strategy_hypothesis,false,2,3,6,8,diagnostic_context_only,0,not_collectable,diagnostic,diagnostic_backlog,,not_specified,0,low,metadata_only,not_reported,true,false,false,6,2,2012-01-05,2012,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.2139/ssrn.1865349,doi:10.2139/ssrn.1865349,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:02ca4df765ba97a748c4,v0.3.0,sh:ecard:02ca4df765ba97a748c4,ecard:02ca4df765ba97a748c4,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,value,refine_strategy_hypothesis,false,4,3,6,8,excluded_valuation_lane,0,not_collectable,valuation,valuation_agent_handoff,,not_specified,0,low,metadata_only,not_reported,false,false,false,8,4,2021-01-01,2021,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.2991/aebmr.k.210522.030,doi:10.2991/aebmr.k.210522.030,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:02d116258bfc1e36028a,v0.3.0,sh:ecard:02d116258bfc1e36028a,ecard:02d116258bfc1e36028a,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,volatility,refine_strategy_hypothesis,false,1,1,7,8,needs_manual_or_data_review,20,low,technical,technical_score_architect,volatility_liquidity,not_specified,0,low,metadata_only,not_reported,false,false,false,6,1,2011-12-28,2011,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.2139/ssrn.556807,doi:10.2139/ssrn.556807,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:02f56db7dbb7475b226d,v0.3.0,sh:ecard:02f56db7dbb7475b226d,ecard:02f56db7dbb7475b226d,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,Quant_mvp\backtest_mvp\docs\v0_3_evaluation_evidence\momentum_cohort_1\ee_v0_3_20260506_sc_ecard_02f56db7dbb7475b226d.md,2026-05-06T14:04:50+00:00,evaluable,momentum,create_evaluation_evidence,true,0,1,7,8,eligible_for_candidate_selector_review,89,high,technical,technical_score_architect,momentum,partial,2,low,abstract_supported,not_reported,false,false,false,6,0,2020-02-05,2020,2026-05-06,,ee_v0_3_20260506_sc_ecard_02f56db7dbb7475b226d,evidence_recorded,2026-05-06,2026-05-06,2015-01-02,2025-12-02,,benchmark_reference_comparison|cost|drawdown|no_feedback|no_lookahead|oos_walk_forward_stability|turnover|volatility,8,true,true,approved_evaluation_evidence,candidate_specific,candidate_level_supervised_label_candidate,strategy_candidate,sc:ecard:02f56db7dbb7475b226d,true,candidate_id_matches_candidate_level_evaluation_evidence,false,false,false,0.9478898686276229,-0.270661347208625,-0.270661347208625,1.218551215836248,-0.6092164024086726,0.2968075686560764,0.8618159203980099,0.35818175172278915,recorded_walk_forward_fail,0,0,candidate_level_evaluation_evidence,,negative,Quant_mvp\config\v0_3_selector_label_rules.toml,candidate_level_evaluation_evidence,candidate_specific,candidate_level_supervised_label_candidate,ee_v0_3_20260506_sc_ecard_02f56db7dbb7475b226d,2026-05-06,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,true,false,doi:10.3390/jrfm13020027,doi:10.3390/jrfm13020027,true,false,eligible_candidate_level_label,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:02f5866fa8f14e915a2d,v0.3.0,sh:ecard:02f5866fa8f14e915a2d,ecard:02f5866fa8f14e915a2d,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,other,refine_strategy_hypothesis,false,2,3,6,8,diagnostic_context_only,0,not_collectable,diagnostic,diagnostic_backlog,,not_specified,0,low,metadata_only,not_reported,true,false,false,6,2,2006-01-01,2006,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.1142/s0219871106000275,doi:10.1142/s0219871106000275,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
v0_3_candidate_ml_input_0_2,"This candidate ML input row is evidence-only metadata for evaluator review. It is not a production ranking input, not a trading signal, not an adoption decision, and not automatic production activation.",sc:ecard:032bbcd811017c77a121,v0.3.0,sh:ecard:032bbcd811017c77a121,ecard:032bbcd811017c77a121,Quant_mvp\data\v0_3\selector_inputs\v0_3_selector_input.jsonl,Quant_mvp\data\v0_3\strategy_candidates\v0_3_strategy_candidate_registry.jsonl,,2026-05-06T14:04:50+00:00,draft,statistical_arbitrage,refine_strategy_hypothesis,false,2,3,7,8,diagnostic_context_only,0,not_collectable,diagnostic,diagnostic_backlog,,not_specified,0,low,metadata_only,not_reported,true,false,false,6,2,2009-01-01,2009,,,,missing_evaluation_evidence,,,2015-01-01,2025-12-31,,,0,false,false,,,,,,false,metric_summary_missing_or_unavailable,false,false,false,,,,,,,,,,,,unlabeled,null_missing_evidence,null_missing_evidence,Quant_mvp\config\v0_3_selector_label_rules.toml,,,,,,,,,,,,,,,,evaluation_prioritization|active_learning|uncertainty_ranking|review_triage,time_aware_required_before_training,,false,false,doi:10.1007/978-3-540-68121-2_3,doi:10.1007/978-3-540-68121-2_3,false,false,blocked_missing_evaluation_evidence,ml_rows_must_not_feed_scores_rankings_reports_backtests_trading_or_auto_adoption,production_activation_requires_later_root_approved_gate
